author age,recommended age,review
"Kid, 11 years old",age 10+,it has never let me down i play minecraft a lot and all i think is that it needs more updates
"Teen, 13 years old",age 2+,not that violent
"Kid, 11 years old",age 8+,"This is a bit outdated. It's no longer just pocket edition, it's bedrock edition and it's on nearly all platforms. It is very easy to play, once you get the hang of the controls it's easy to play. It is a building game, but there's a lot more. There's very little violence, and there is an education edition used by schools. If you're under 8, the controls may be a bit hard to use. In my opinion, this is better than the ""pc version"", which is now java edition."
"Teen, 17 years old",age 10+,"Minecraft is kinda boring: My main problem is the way u get resources, is the same way at the start and in the end. there is not much to in end game but build, there is no reason to build but if u do getting resources i boring and repetitive. building big estructures is also annoying have to spend hours placing each block of ur huge castle but i can deal with that if getting the blocks was not boring.
Bosses are not challenging most mobs are easy.
There no real reason to explore cause the rewards u get from exploring are not good ( except the totems but u can also get them from pillagers raid ). the structures are small and not impresive and the challenges they bring are easy once u did one there is no real reason to do it again. Make minecraft have season so there is more variations in every biome.
Villages are also boring, it could be cool if we had another villager updata and give more personality to villages and villagers, make them progress expand their cities go to war or be abble to hire them to explore the dagerous nether. Have diferent arcitecture for each type, cause now is the same house diferent color or blocks and its boring, all vilagers from the same village are the same the only diference is their profesion, make them have families so i care about them.
PvE is boring since most mobs are easy to kill and only have one attacks that pretty boring they a variety of attacks that u have that are simple and easy to learn and predict but challening. They could add like mobs attacking ur base making have to build a base to protect form these attacks, they could also add mobs variants like a bigger zombi thats good at breaking, and esqueleton that try to take things from ur chest for example, they could change depending on the biome and season
i like the nether.
The end is cool for a boss but there is no reason to return other then to get an elytra."
"Kid, 10 years old",age 6+,"So, the only thing I would think to be inappropriate are swords, bows, and death. That's it. If you are fine with these things, your child can play this. It's also really simple, fun, and creative."
"Teen, 13 years old",age 2+,its a simple game and a really fun one to and to play it you need to be creative and have a good mind and you can just play freely and build whatever you want
"Teen, 13 years old",age 13+,
"Teen, 13 years old",age 9+,"Minecraft is a game where every thing is blocks
it can be fun to play but younger kids should be in a mode called Creative where kids can play and bulid pertend houses until there hearts disire but in Survial mode there are monsters that kids might be scared by."
"Teen, 15 years old",age 5+,"Theres no point to this game. It gets boring so fast. If tou like exciting video games, this is not for you. But, there can be creativity and other cool things"
"Teen, 14 years old",age 16+,the game which is for making somethihg
"Kid, 9 years old",age 13+,"To start off with. There is no safety controls for the chat. Hence you have to go with friends that you trust and not swear. Secondly, if you go to creative mode / you go on survival mode you don't have to worry about others vandalizing your stuff. But in a nutshell minecraft is a really amazing game but you have to be careful of people attacking your bases on multiplayer since it will make you cry if you really worked hard on a build."
"Kid, 10 years old",age 5+,"great for kids, you learn in it and you could build houses and many things. very little violence and the characters dont even talk, it is safe for kids and perfect for older kids that like crafting."
"Kid, 12 years old",age 6+,"This game is great and it encourages you to be creative. There is minimal violence as players can be hit by zombies and other mobs drawn in an extremely cartoony style. This is easily good for ages 6+ and mature 5 year olds. There are online servers that you can join if you have an account, but parents can turn this off in parental controls on the Xbox app."
"Kid, 7 years old",age 6+,You can build anything
"Teen, 15 years old",age 2+,"I've seen lots of karens saying stuff like ""OmG mY LiL aNgeL wAs TauGhT sWeArs FrOm MulTiPlaYer!!"" ...Lets be honest here, your kids know swears. Plus there is a thing in your child's forehead called a brain, so they won't give away personal info. I also see parents saying they saw their kid kill an animal or monster, and that their kid will become a mass murderer. No dummies, even an unborn fetus knows not to replicate anything in a game. The red that appears on a mob when you hit it is NOT blood, but an indication that you hit it. Sure, in multiplayer some peeps look for gfs/bfs, but there is such thing as leaving the server.
NOTICE FOR KARENS
•there is no drugs in minecraft.
•there is no s€x in minecraft.
•the minecraft youtube videos are not ""toxic.""
•may i repeat, YOUR CHILD WILL NOT REPLICATE ANYTHING IN MINECRAFT.
•*sighs* your kid already knows swears.
also ik im not a parent, but i put it under ""parents say"" so karens notice it."
"Kid, 10 years old",age 6+,"minecraft is a fine game for children six and up, it only has mild violence and it also has an educational value, if you want you can minecraft education edition. there is no sex/adultish things in minecraft. there is no swearing unless someone in your game writes a bad word in the chat. kids can do so much creative things in this game so its very good. if you do not trust this game you can play it WITH your child. I'm even writing a book about this game. i dont really mind if you guys dont agree with me. bye"
"Kid, 10 years old",age 8+,this game is amazing even my brother plays it. I love this game so much.
"Kid, 9 years old",age 3+,good
"Teen, 13 years old",age 5+,"I have played Minecraft since I was five and it has been a life changer during covid! There is no blood or gore and it has soooo much potential. I have played about 2000 hours in total and I don't regret a single minute of it. If your child is young and is scared easily just turn off the monsters with peaceful mode and put them in creative, heck I didn't like survivial at first and didn't play it till I was eight! Also a few notes:THE NETHER IS NOT HELL. It is just a dimension with lots of fire. Summoning golems is not a satanic ritual! If you don't want children to play with strangers then just tell them not to play with strangers! If your child asks for it just get it for them because it's a great game that has been thriving for over a decade. Also bedrock edition (The one for tablets and consoles is better for younger kids because there is better online safety. although it does have in app purchases.) If your kid is a0 up get them java (The one for computer) java has a more adult community but has NO in app purchases and has more game features."
"Teen, 16 years old",age 16+,"Right, In this game you can commit war crimes, burn down villages, boil people alive with magma blocks and water with a roof, child abuse you can kill Baby Villagers, Piglins. you can also be a terrorist and blow up towers, deforestation, slavery, Murder on Minecraft servers. you can force breed animals, eat animals, kill animals, burn people alive with lava (players &amp; villagers &amp; Animals) there is also phobias in that game like if you don't enclosed spaces, or your affraid of the dark, or spider. there sword, crossbows, gun mods and many more things in the game. some can be avoided but it is the main things you need to do to survive so not all avoided. and the game does have creativity, and art, architechure. but the game is very addicting and much more when you have a Autistic, ADHD Son/Daughter. you can also trade with people in the game."
"Kid, 5 years old",age 8+,"Minecraft is a good game for kids that have a field of creativity! Players are welcome to build anything they like! There is a large menu of materials for players to build like wood, iron, obsidian, well you get the idea. Players can also play on Minecraft servers like Hypaxial to play with other online people. However, there is a downside to this wonderful game unfortunately. When players are starting out, they need to kill animals to get some food and other stuff, just, WHY? Also, some people tend to kill villagers to not let them become zombies, this even counts as killing other people, WHY? Also, there are some scary sounds in Minecraft, the creepy cave sounds and Disk 11 and Disk 13's unsettling themes. In addition some blocks are scary too, like soul sand. However, most kids do not notice that and keeps on playing. This game can attract many children to play it, so they might get attracted to Minecraft. Remember to always keep track of your kids screen time! Some people might talk to children on servers about bad things like sex. Overall, this is a great game and it has a little bit of danger inside it. As long as you don't play on servers, you're definitely safe!"
"Kid, 8 years old",age 13+,"Minecraft is a good game, but your child can get online on servers. And there may be swearing in it."
"Teen, 17 years old",age 2+,There is nothing wrong with letting you kids play this game. It encourages creativity and there is no blood in the violence and it can be used as a reward for after they do something for you.
"Teen, 13 years old",age 2+,
"Kid, 10 years old",age 7+,"Minecraft is a double thumbs-up. Lots of people play this game, and if you don't know Minecraft, basically it is an virtual world where you can take blocks from the game and place or delete them on a 3D world. There are TONS of blocks: different colored clay and terracotta blocks, sand, pumpkins, clay, and the list goes on and on. There is not only blocks too, there are things like doors, boats, and even animals! If you put the mode on ""Survival"", you must survive in the world by building things you need in order to survive, but you start with no blocks, so you have to find some!
It is a great game. However, there are a few things that push it just a bit pushed to the violent side. First it has fantasy violence, and has a bit of violence because you can kill and torture animals in the game(From ESRB rating(E10+)).
However, there are lots of educational opportunities, because it symbolizes real life in some ways, but also with fantasy added as well.
So, that is all for today, hope this review helped! Thanks for reading!"
"Teen, 13 years old",age 10+,It is a fun game and it has creative and survival mode and there is a lot of creativity!!!
"Teen, 13 years old",age 13+,"In the game, many can join the Favorite Youtubers and have fun with The best SPEEDRUNNER is Dream him self."
"Teen, 13 years old",age 4+,"Minecraft is good for all ages, the only reason I put 4+ is because kids under that age probably don't know how to play it. Yes, you can kill animals, but there is no blood or gore. You can build awesome stuff, and it brings out creativity. There are also cool servers, which introduce many new ways of playing. Hypixel and Shirecraft are the best. Also,the Nether is just a place to gather recorces with challenges. And the end has a dragon in it. If your kid asks for Minecraft and you have the money, buy it for them. You can even play it yourself. I have been playing it for 9 years and I still love it like I did when I first got it."
"Kid, 11 years old",age 6+,I love this game so much and it is not violent at all except for the killing mobs that try to kill you. They do ask for a lot of money for minecoins but other than that it is highly recommended!
"Kid, 11 years old",age 2+,It is good but i dont think that anyone under 8 should play on public servers but its a good way to stay connected with friends and make new friends as well and its very fun
"Teen, 13 years old",age 2+,Ever since I got the game for a gift from my mom ive been playing it for hours. on my best world i have a villager breeding area and more. love it and let you have multiple idea of what to build. keep updating!
"Kid, 11 years old",age 7+,"Minecraft is easily one of the most popular games on the internet, along with many good reasons why.
This game allows you to either play survival mode, education edition, or creative mode. Creative mode allows you to build or do whatever you desire without having to have limitations on you resources or without losing hearts.
Survival mode allows you to build, but you must work to find the materials and other necessities.
Education edition allows you to experiment and learn about different elements of the periodic table. It has also other learning features.
There is some mobs in the game, which will attack you in survival. You can use some animals for food, and a sword is included in the game.
Even then, it is still a good and easy game to play."
"Teen, 17 years old",age 7+,"Bshshusx
Gahhzh,hb b"
"Teen, 14 years old",age 7+,"MInecraft is awesome! However, parents should know that playing on an online server is harmless. Nobody ever uses the chat so all you do is just play online. My sibling got this when they were like seven and they also have never been bothered by anyone online."
"Kid, 10 years old",age 5+,"so minecraft has a mobile version and a pc version, my brother has the pc version and i have mobile and we love playing it all the time, this is fun and unleashes creativity, meaning you can get blocks from your house and put them into mc and make something! thank you legend Notch and jeb, also this game is not violent, when you attack something it just goes into a red filter for a second then when you attack it enough it will just go to a red filter and fall and might drop something depending on the mob. i recommend this game to 5+ probably because if your younger you won't be able to do much, i really like the redstone in minecraft, i am a redstone artist, TO ALL PARENTS AND KIDS, this game is something you should definitely pay for, its worth it"
"Teen, 13 years old",age 7+,I have been playing Minecraft since i was 6 years old. It is very fun and educational game that encourages creativity and promotes motor skills.
"Kid, 10 years old",age 9+,
"Kid, 8 years old",age 8+,This is the best but it was still paid but its okay because the phone version is 7$ You can make a house or fight zombies and survive that game is better than ROBLOX
"Kid, 9 years old",age 7+,
"Kid, 11 years old",age 8+,Creative mode is the best because it has lots of parts I can use. I made a cool house for my roblox character.
"Kid, 11 years old",age 4+,"Great game for kids who are creative and want to build stuff but cant in real life, 4+"
"Teen, 13 years old",age 6+,"Minecraft is a great game for young kids because it promotes building, math, and creative skills. If you have a very young child, don’t set up an account, but let them play. If you set up an account, you can join different games and talk to people. Unlike Roblox, Minecraft does not have a chat filter, however it is unlikely anyone will curse because the community is usually kids. It’s easy to play."
"Kid, 10 years old",age 10+,"This game is AMAZING!!!! Although, the game has mild violence, so it's better for the age 10 and up!!"
"Kid, 10 years old",age 2+,"This game honestly sucks, the graphics suck, and there is no blood or violence, i have no idea why it is 8+."
"Teen, 17 years old",age 5+,"Don't listen to the overprotective parents who say, ''ThIs GaMe HaS sWoRdS tHaT mEaNs ThErE iS vIoLaNcE'' There is no blood or gore, and the 'monsters' aren't scary at all. You read the reviews, and if you still don't believe me look up, ""Minecraft animals"" and you'll see there not scary at all.
This game is not like ""fOrtNiTe"" and stuff like that. Its a relaxing game were you can build houses, forts, caves, parks, planes, (etc)
Really whatever want. Let your imitation go wild!"
"Kid, 10 years old",age 6+,"The blocks I love! this game allows you to go to the minds limit!
But there is creepy stuff and sounds which can make it scary"
"Kid, 12 years old",age 7+,"By far, one of the greatest video games of all time! In this game, you can choose to survive or create with no limits! In creative mode, you can fly, take no damage, and have unlimited resources. In survival, you are limited to your wishes about the game, where it is a challenge to survive. You can do whatever you want in both gamemodes, in creative, you can build huge villages, mansions, castles, machines, or adventure maps and let your imagination run wild, and in survival you can fight, hunt, and complete whatever challenge you set, beating the final boss(enderdragon), or perhaps creating an abode for you to live and take pride in. If you have a younger one (ages 5-7) you might want to stick with creative or survival in peaceful mode (no monsters or threats). I also prefer to keep them off of multiplayer servers( where random strangers play). There is also a nether dimension which is supposed to be hell, so keep them away from that if it offends you. There is local multiplayer, where you can play with family or close friends. If you're child is older, loosen the limits, but keep an eye on their public activity on servers. Have fun!"
"Kid, 11 years old",age 4+,"I started playing when I was 6 and I thought the monsters were scary, but then i just went to play in creative. My 5 year old sibling just turns her worlds to peaceful. When I was 9 I started playing survival. But what I'm saying is that other games I've played I enjoyed them for a year at the most, then they just got boring. But for me, MINECRAFT HAS NEVER GOTTEN BORING. Though I would use the servers with discretion because sometimes they are inappropriate."
"Teen, 13 years old",age 7+,This is da best game in the world 10000000% fun
"Teen, 13 years old",age 5+,Great game no blood or any thing violent but 5+ because of the controls on consoles may be hard and frustrating for younger kids.
"Teen, 17 years old",age 10+,"Parents doesn't want to let their kids playing minecraft because they said it is too scary because there's monsters and too violent with an lot of blood. But no, these monsters are not real and I mean zombies, skeletons, creepers, and witches. But I promise you, those DO NOT exist only on minecraft. However, parents just write those negative reviews because they have never tried minecraft and sees their kids playing it. Honestly, you should let your kid have fun playing minecraft and don't let them stop what they're doing don't ruin their fun parents. I've been playing minecraft for over 5 years back in 2016 now! And, my parents NEVER ruin the fun for me which is great! Sometimes, they just check on me and then they go away. Minecraft is really an good app and it doesn't need negative parents."
"Kid, 11 years old",age 2+,"People think it is very violent, but its really not. The most violent it is is killing pigs for food and killing mobs. There is different gamemodes however. There is creative, and survival. (And hardcore, easy and more on java. the computer version.) In creative, you have NO VIOLENCE at ALL. All you do is go into your inventory andfind blocks to build stuff and or explore! There are villages in all modes, and different cool structers. You can also join servers. One is Sharks server, and the ip is Anubis.gg on java. or you could join on bedrock and it is bedrock.anubis.mc I suggest this server and go to survival. Many people are nice and give you SUPER good armour."
"Teen, 17 years old",age 6+,"I grew up on this game and the screenshots above are not that accurate. Those screenshots are from 8 years ago and the game looks a whole lot better. Minecraft pocket edition is really easy to use and is great for on the go creativity. Also, if you have Minecraft on Windows 10, PlayStation 4/5, and Xbox one, you can connect to the same worlds and servers. Also, Minecraft PE has easier controls in my opinion. Love the game!"
"Kid, 10 years old",age 6+,
"Teen, 16 years old",age 2+,
"Teen, 14 years old",age 7+,
"Teen, 16 years old",age 3+,"If you want yo kids to cry all the time and feel isolated from friend groups, don't let them play Minecraft. This game is amazing in every way. Nearly every aspect of the game conveys a certain beauty that both entertains and mentors."
"Teen, 16 years old",age 4+,I got this game for my 7 year old nephew And he played the hell out of this game on my IPod: This game can have multiplayer And chat And people can bully you this game includes fantasy violence which isn’t a problem for me but it can be a problem for other people
"Teen, 15 years old",age 6+,Just don't let a TOO young kid play this.
"Kid, 8 years old",age 6+,minecraft
"Teen, 15 years old",age 15+,
"Kid, 9 years old",age 6+,"There is violence but no blood or gore. You just turn red, but then move on. Also, it encourages creativity. My favorite part about minecraft is that its not scary. You can mine, farm, build, explore, cook,enchant things, craft, and defend your friends and yourself from monsters. You can go on servers and chat and build and play minigames. They dont bully or do anything bad, and i know that from experience. It also has a filter. Please let your child play this. They WILL have fun. (my cousin does.)"
"Kid, 11 years old",age 6+,"This game is so fun, since there are many modes. One mode is where you survive, doing stuff like mining, farming, fighting monsters, and getting wood. The other mode is creative mode, where you can build whatever you want with a variety of blocks. I love playing with my friends, and it’s one of my favorite video games. It could update a bit more often though, but still a great game."
"Kid, 10 years old",age 10+,"I would rate this game a 5 if it were less expensive to buy as a full game. Heaps of kids like playing Minecraft, but there is minimal violence and you kill other people and animals for resources or food. 8 and 9 year olds are a bit young to experience doing this, it's also an online game and kids are sneaky, so if they were asked to play offline by their parents, they would still play however they desire, usually being online. It's better to play offline though, since people can't comment inappropriate or mean things about anyone that way and your identity is protected. Parents may think kids should be around 12-13 years old before they can play this fun sandbox game because of the violence, but I'll say it again - 'it is only minimal' - so it would still be appropriate for 10-11 year olds to play too. That's just my theory."
"Kid, 9 years old",age 2+,"Minecraft is a 3D game where you can build, hunt, trade, and play with other people in many minigames!
It makes you creative and has different mods. It's very easy to play and makes your kids learn how to survive (Except some stuff lol)
Even if ""killing"" animals is not fun, how do you get meat and chicken? Animals were killed to provide us food and that's what Minecraft put for us too!
This is an amazing game and really recommended to play."
"Teen, 13 years old",age 8+,play it so good
"Teen, 16 years old",age 2+,Tell other families what you think
"Kid, 11 years old",age 8+,"When I started to play Minecraft, I must have been around 8-9 years old. By then it was a pretty popular game but competing with Fortnite over popularity. Trying not to add bias, Minecraft is a bit better then Fortnite. Although you can kill animals and people with swords and bows(on a multiplayer world, which is your choice to add/create,) Minecraft isn’t based off guns and battle royale, such as Fortnite. Also, it is your choice to add multiplayer aspects, such as Minecraft Realms (multiplayer add one to the game.)"
"Kid, 10 years old",age 4+,"IT IS SOO fun really cool you can go on srevers and play online or just play alone. if you have a slibing you can play with them, you can play with tons of stuff. it not modern like bow and arrows. ect anyways there is no blood in the game. very fun. but i just dont understand the hate it a really fun game. you dont have to use the chat. and you can tell on a player and blox them"
"Kid, 11 years old",age 6+,Minecraft is probably one of the best games out there. You can have fun playing mini games on servers and you can also work on a single player world. I recommend playing with Shaders and resource packs because the graphics are a bit bad compared to other games.
"Kid, 10 years old",age 2+,"My child loves this game and I am happy as long as he is happy. If you dont know what this game is about it's basically a game where you have to craft supplies and try to survive the night and build a base. Also you have to fight dangerous monsters named ""mobs"". It's really not that violent of a kids game if you ask me. If you do want your child safety to be important then just simply tell him/her she cannot play multiplayer. cuz if you let your kids play in multiplayer which I let mine, but if you do there is a chance adults can say and build inappropriate stuff. All and all 10/10 game. I let my kids play all the time, but I wouldn't suggest this to vegan parents because in the game you have to forcefully breed animals and kill them for food but that's basically what you have to do in real life so good game."
"Kid, 10 years old",age 5+,"So I've been playing this game for 4 years and I love it. I am having fun with building Redstone contraptions and buildings. not such a fan of survival, but it's ok. Mojang keeps adding new things and updating the game well. My parents are interested in the game and like to see my builds. My advice to parents that are scared of the effect of the game on their child is to be more interested in the tiny details. The game is fun and educational. I personally learned English from it (I'm not American or British). Many parents think the game is causing violence and a lousy effect on school. But I played the game for 4 years, and I have one of the best grades in my class, and I never use violence. So I think it the best game (Among us good too)."
"Teen, 16 years old",age 5+,"Minecraft is a great sandbox game. . The game is not scary. You can do much in it, the most popular thing to do is go onto survival and survive until the end :). It was one of my first ever most liked games from when I got my console❤. I still like it :). I've been playing it for like 2-3 years. If you're worried about how it costs, don't worry just buy it, you will not regret it :)."
"Teen, 15 years old",age 7+,
"Kid, 11 years old",age 7+,
"Kid, 12 years old",age 2+,Minecraft is a very great game
"Teen, 14 years old",age 3+,"Game is great.. Almost been playing the game for 10 years. Really encourages kids with creativity. Trust me, it's good for your kids. Don't feel convinced? Check the trailer
https://www.youtube.com/watch?v=MmB9b5njVbA&amp;list=PLC-SzJAaEAFfKQv_JCSZuR..."
"Teen, 13 years old",age 5+,"First off, Minecraft is a game that is made out of blocks. There is little actual violence, the graphics are simple and cartoony. If you ‘hit’ a creature it turns red for a split second to tell you that you have hit it and it will run away if it is passive, and if it is aggressive it will ‘attack’ the player. The same thing happens to the player- They turn red and get pushed away. This only happens in survival to the player.
The only concern I would have if a (younger) child should play it is that if you get your child an Xbox Live account, they can join servers. This needs to be monitored because you can talk to people on there. However, the chat blocks most words on the main servers and also the servers that I have been on didn’t have anyone talking. The role-play ones have the most chat and (for a young child) ‘inappropriate’ things.
You can also join anyone using the same WiFi as you unless you have a child’s Xbox Live account with modified settings.
It is a really fun game and before you start panicking about scary characters, you should actually play it with your child."
"Kid, 8 years old",age 8+,This is a good game you might wanna know why well its because you can let your kids imagination free but you sometimes it gets too crazy but its a good game you can play with other people and make friends so this is a good game!
"Teen, 13 years old",age 7+,There are very different ways to play minecraft and there are ways to play multiplayer but the problem is that anyone can talk to your child or you and they can be dangerous so there are privacy concerns but if the player is supervised then it is ok:)
"Kid, 8 years old",age 7+,Minecraft is a good game for building! If you dont feel like Minecraft is for your child watch them play Minecraft on any of there IPad or IPhone! I play it on my Nintendo and its easy and fun do play!
"Kid, 9 years old",age 8+,Minecraft iPad /phone/laptop is a fun version of the video game but some kids may like it more in certain modes. What parents need to know is there are two game modes survival and creative.If your child likes to fight zombies and other mobs than survival is good for him/her. But if your kid likes to be creative and build houses and what and other stuff then pick survival.
"Teen, 13 years old",age 2+,This game is great and it's appropriate I mean you can build so people might make inappropriate builds but other than that it's good and appropriate
"Kid, 10 years old",age 7+,"I think Minecraft is a really good game for kids because you can learn life skills and you learn how to hunt for food survive. I feel this game is for 7 and up although there is a chat where you can chat with other players, but there is an option to turn it off. So I feel Minecraft is a very good game for kids like me."
"Kid, 12 years old",age 10+,"This game is amazing and so interactive in a good way, but you should chat with your kid about servers and multiplayer. Players can bully other players for no reason and can be just plain ruthless and cruel. My sister’s friend’s brother blew up her house and all her pets along with it in a world. Also, in an LDShadowLady fun craft video a griefer blew up her whole house, thus ending the series. Other than the occasional griefing and bullying on servers, this is an awesome and fun game that has little to no violence in it. There is no blood or gore, mobs and players just flash red and then disappear in a puff of smoke, leaving items behind. The game can get tense, I can tell you that, but in creative mode it is just building and satisfying exploration. I hope this review helped!"
"Teen, 16 years old",age 3+,"Excellent ambient music, you have the ability to build whatever you like. You can also join user generated servers and in Java Edition there are tons of frees mods to change the game in basically any way you want. On the topic of the various 1-star reviews, these people have never played the game and understand absolutely nothing. They're a bunch of Karens."
"Teen, 15 years old",age 2+,"Such a great title, force them to play this awesome game."
"Teen, 13 years old",age 9+,"This game is okay. There are safety and privacy concerns because of online chatting and kids can go on to other people's worlds, even if the people are strangers. One thing I don't like is that you can kill animals and zombies in minecraft. My brother got this game before me and he started calling EVERYBODY in different worlds his friends. I don't think he even knows who they are. There is also something called Herobrine. He is apparently a ""ghost"" that has risen from the dead and haunts people's worlds. I don't know if this is true or not because it hasn't happened to me. so just be aware of this. To stop zombies from coming into your world, you have to set the game mode to peaceful when creating a new world or of you are in a current one, go to settings and fix game mode. also, you can go to creative where you don't have to kill animals and you can freely build."
"Kid, 11 years old",age 6+,"I think Minecraft is a good game because you can create things such as houses, buildings, and have fun. You can also play on servers and play fun mini games."
"Teen, 13 years old",age 8+,"Such a simple game, but one that has endless possibilities. Of course survival is great, you start with nothing and become extremely powerful later and look back at your progress, which is fun but multiplayer is the cherry on top in this game. Playing with your friends, building bases, farms, slaying hostile mobs, bosses, having wars, duels, and SO MUCH MORE. I highly recommend hypixel as well, it has bedwars, skywars, skyblock, build battle, housing and so many more games its insane. Not to mention the lore in this game, I recommend watching game theory/matpat because the lore is also so cool. I recommend everyone to get this game because it's worth it and you'll be enjoying the different gamemodes for hundreds of hours. Minecraft has something for everyone. Also, to those parents who think minecraft has violence, yeah sure but it's not all violence, minecraft can even teach kids about the importance of animals and how we can cherish them and make them our friends."
"Teen, 13 years old",age 4+,"This game encourages creativity in many ways! If you don't like that play with mods, the ""market place"", other people's maps, and survival mode! You can do lots of stuff in the game create in many ways and use your imagination! This game should be 5/5 stars in my opinion."
"Kid, 10 years old",age 3+,"Minecraft is clearly the best game. Why should you buy it? Here's why:
Minecraft is extremely educational and encourages creativity. Turn on education edition to mix elements to make sparklers, balloons, colored torches, underwater torches, etc. Redstone is Minecraft's electricity. It is so fun to experiment with! Build anything from a medieval castle to a tropical resort! There are so many educational and creative factors.
Educational Value: 10/10
Breed animals to get more animals and in turn more resources, animal breeding is not inappropriate at all. If you breed two animals their heads meet and a baby appears. I just realize I should name one of my cats Worf... (I have a cat named Jadzia in my world) There are settings in your world to prevent strangers coming in, and I don't recommend servers.
S*x, language and privacy concerns: 3/10
You can brew potions to give you special powers like invisibility, slow falling, night vision, etc.
Drinking, Drugs, and smoking: 0/10
The game is $7.00, but it is totally worth it. (and way cheaper than java, I play both versions) You can purchase minecoins to get safe community made creations from the marketplace. (ONLY DOWNLOAD FROM THE MARKETPLACE)
Consumerism: 3/10
You can kill players and animals, but its not necessary to beat the game, there are mobs that can attack you. Despite what some reviews say: there is NO blood whatsoever. Entities turn red when you hit them. You can turn off killing other players, and you can turn off TNT blowing up (end crystals, beds, and respawn anchors can blow up though)
violence: 2/10
Reccomended Youtubers: Eystreem
It takes awhile to grasp the basics, and people may call you a noob, but true friends will help you out."
"Kid, 9 years old",age 4+,"Minecraft is a fun and easy game. Like 4 - 8 years olds can play on Minecraft just not server’s. You can play on Minecraft whatever age you are if you approve of this game. I’ve been playing for 2 years, and I am ok with the little violence and scariness. Just don’t play on Minecraft servers if you are not ok with rude people on servers"
"Kid, 8 years old",age 8+,"I think it is really good
I like it when you can built whatever you want"
"Kid, 11 years old",age 2+,"So Minecraft is great for kids, also they are making a new security update soon for Java edition at the start of next year. By they I am referring to Microsoft the owners of Minecraft. Minecraft is a great creative game and a infinite sandbox where you can build almost anything. Although I must admit there is one thing wrong... There is no chat censor so people can say whatever they like. So online I recommend for 12+ offline or with friends on Bedrock I would suggest to any age."
"Teen, 16 years old",age 14+,"a teens guide to competitive minecraft java
if u got minecraft bedrock then dont read this
1. install minecraft
2. install badlion client
What is badlion? It is an anticheat based client with game improvements like greater frames per second and better user interface. Competitive players like purpled use it. If you didn't know he is 4th on the hypixel solo bedwars leaderboard.
NOTE: badlion has a very strict anticheat, requiring you to run it as administrator.
3. Make your own skin
There are lots of good tools out there to make skins. I use need cool shoes. You can change your skin at minecraft.net. OR just find some youtubers skin. Its up to you.
4. Get a good mouse and keyboard.
Please dont play with a 1980s mouse. you wont get anywhere. It doesnt have to be razer or glorious like i do, but at least use an optical mouse.
5. Join hypixel
it is a mingame network. 2nd largest minecraft server in the world, and plenty of good and nice players
6. Practice and learn.
Find people who have experience at the game. I know plenty of people who can do all sorts of fancy things (how i learned to godbridge)
My minecraft IGN: GabrielGodpro101
Join My Hypixel Guild: /g join Gabrielgodpro101 in hypixel"
"Kid, 9 years old",age 8+,"I love this game and I currently have it, but the price is unnessecary. Does it really have to cost 25 dollars just for a fun game? I think Minecraft would be better if it didn't cost a lot of money, or at least didn't cost that much money. It's really sad to see my siblings have to wait to get their own Minecraft accounts and have to play on mine due to the cost and the price. But, if you have the time, the money, and no siblings that want it too, I think you should TOTALLY get Minecraft!"
"Teen, 15 years old",age 6+,"This game is one of the best pc/console/mobile games I've played. You basically live in a world comprised of blocks, that you can place and remove, like virtual Lego bricks. The only limits are your imagination. This game promotes creativity, problem-solving, self-direction, and collaboration. This game is ok for about all ages, and there is nothing inappropriate, other than some brief violence, which is still kid-appropriate. Highly recommend this game to anybody who loves sandbox based games."
"Kid, 10 years old",age 7+,Minecraft is a great and creative game but servers can be inappropriate in the chat but overall great game and to the parents who do not let there children play that is ridiculous it is a game where you can make whatever you want and in survival there is no blood or anything gruesome
"Kid, 9 years old",age 7+,I have been using minecraft and many parents/caregivers have worried about there kids killing animals i will tell you how to stop this type of behaviour first create or tap the pencil on a world then go all the way down to the bottom of the page then it will say turn on cheats after you see that you need to tap it the it will say stuff like there will be no trophies just tap continue after that you will need to turn mob spawning off then there will be no animals/angry mobs
"Kid, 12 years old",age 6+,"Have you ever been bored to death? You want to have some fun but you don’t know how? Well, play Minecraft. To spend 30 minutes of your time playing Minecraft is not a bad idea. It is a game full of adventures and quests to explore different biomes. When I first played Minecraft my brain exploded. It was so much fun that I begged my parents to download Minecraft for me. The texture is top-notch with lines and drawing to bring the object to life. The animations are remarkable because whenever you do something it looks realistic water ripples around you when you swim. The vision is superb because you can change the way you look at yourself. You can also change your hair and clothes in the settings. There are different views, clothes, and hairstyles so find the one you like best and start playing. There is also outstanding sound quality. Minecraft is made out of sounds. There are different cool sounds for each and everything. Such as how pigs go oink-oink, cows go moo-moo, chickens go quack-quack, grass goes swish-swish. It makes Minecraft seem very realistic. This is why I think you should definitely play Minecraft!"
"Kid, 9 years old",age 7+,"Minecraft is a great game and is really not that violent. Some parents complain that there is swords in the game, but they never notice that they have let their kids watch Mulan so I am really confused. Anyways Minecraft is wonderful and encourages creativity since there is building! There is also a mode where you spawn in a random world and need to get tools and build a house to survive from zombies and skeletons and other hostile mobs. Minecraft is great!"
"Teen, 13 years old",age 5+,parents should understand that this game is a fun game but you need to teach your kid not to destroy other ppls build for fun and make sure that they understand what they are doing
