"selection1_name","selection1_selection2","selection1_selection3"
"age 18+","When I was posting as a 13 year old child there was so many 10-8 year olds OD ( Online Dating ) I was so shocked to see sex,violence,drinking,smoking,drugs and swearing by using numbers and this is unaccompanied for a 10-8 year old child to play this is a risky game! I wouldn't recommend this game not the best to play without parents permission and seeing what your child is actually doing. Roblox needs to also permanently banned scams as well! Roblox should be shut downed and updated to be safer or be permanently banned from every device.","Adult"
"age 13+","yes roblox has violence but its just a Lego simulator ya'll need to chill out there are so many games and even if your child does decide to play a game with 'violence' its not that bad it teaches nothing and its just a fun game to play when your bored it also doesn't cause ""school shootings"" so ya'll are over reacting the filter is bypassed ofton and there is no big deal in life people swear so what are you gonna do there is sexual games and outfits but just play games that sound safe ok now bye crazy karens &lt;3","Adult"
"age 7+","I think roblox is amazing. my kids love the game. My eldest daughter has a youtube account and she plays roblox on it. My 7 yr old kid loves it too. good job","Adult"
"age 2+","look there are karens who say this game is horrible but in reality the only bad thing is the chat and sometimes you will have a troller or two but thats it it is really a good game","Adult"
"age 5+","","Adult"
"age 17+","My kids get bullied inside the app ALL DAY LONG! Pay to win app that just wants to suck all your money! Keep your kids away from this toxic app AND it's community!","Adult"
"age 2+","Roblox is a nice Game My Only Problem about Roblox is The Captcha
It Abuse people to do work Always go Out of Control I answer 12 And it
it Ignore It if I can Go Back in Time I wish I Can Tell Them To not Add Captcha Otherwise Roblox is A Good Game","Adult"
"age 18+","My kid played this without my permission and now he is scared of props pig for some reason. I checked his account and saw he was messaging online people he didn’t know, and even worse, some were wearing bikinis! This is not suitable for young children.","Adult"
"age 12+","How many kids accounts have been hacked? All spending their spending money on the game every week and no contact information for support except a message board and “we’ll get back to you”!!!! Shocking game","Adult"
"age 8+","Dear Parents, from the creators of some roblox games, if you think roblox is a bad game, you should think outta the box because not all of roblox's games are bad, the ROBLOX Staff did not make the games on the front games, it's actually kids/teens/adults that make these games, based on there imagination and you should see the point because ROBLOX is never cause of your review, its your children/teens that make these games, not roblox. ROBLOX motto is ""POWERING IMAGINATION"" and if y'all parents think the youtubers are bad influence to your child. ITS not, they are content creators making content for the entertainment of the person watching, making reviews about the game nor the like it or not, so all parents dont blame roblox you must see what your children/teens are doing in the website, once again dont blame roblox.","Adult"
"age 10+","I have been dealing with an issue with my son’s account for over a week. He has had a Roblox account for 4 years. Considering the amount of resources we’ve dumped into this game for 4 years when we needed support for just forgetting a password it’s taking over a week and still no resolution! I am so angry at customer support!! They claim they respond to issues within 24 hours and it’s all a freaking lie!!! I hate this game, but my. Son loves it so I will keep
Dealing with them, however I am a very very unhappy parent and they need to fix the issues right now! So yeah boooooo Roblox. They suck!!","Adult"
"age 18+","roblox is a good game for kids and they can spend the parents credit/debit card to buy robux or premium membership. this game jailbreak is not violence. roblox is a good site for dating to","Adult"
"age 18+","We were playing meepcity and bloxburg and I showed him my house. He spells like and 8 year old but I believe that he is 102329289383489 as he says.","Adult"
"age 5+","Hi, I am a roblox developer. If you don't know what that means, I basically make games on ROBLOX. I am not an ""Admin"" or any of that, so don't spam me with ""Your moderation sucks"" type of responses. Anyways, ROBLOX is the type of games kids should be able to join and have fun. Yes, sometimes there are ""Hackers"" that change the wallpapers and names. But there are also really friendly people out there. My 5 year old sister likes to play ""Welcome to Bloxburg"" alot, and the community is not toxic. What I am saying is, let your child play the game. The world doesn't revolve around your kids. They saw one bad thing, doesn't mean it will terror them for life.","Adult"
"age 5+","it shousald be a 5+ game ITS NOT VIOLETNT!! PEOPLE ITS NOT VIOLENT MY SON ADIN PLAYS IT AND HE CAN MAKE A GAME AND HE IS ONLY 5 YEARS OLD! SO PLEASE THIS GAME SHOULD BE 5+
HE MAKES REALLY INTRESRING SIMULATOR GAMES SUCH AS: MINING SIMULATOR HIS ALT ACCOUNT MADE: STRUCID BATTLE ROYALE HE GOTS 900 WINS ON FORTNITE BTW AND HE KINDA LIKES MINECRAFT SO YEAH!! BUT MY POINT IS IT SHOULD BE A 5+ GAME!!","Adult"
"age 10+","ROBLOX is generally a family friendly game, however you should know very key concepts that ROBLOX offers so you get a real grasp of the game as a whole. ROBLOX is a game, where people can make an account and play games. However, these games are curated by the moderators but in my opinion, not curated very good, but more about that later in my review. My first suggestion in considering letting your child play the game, is play it yourself! Nobody can give a better review on how you feel better then yourself. After that, sit down with your child and help them set up an account. Make sure that you connect your email to the account for security purposes like if the child forgets their password and so you can monitor activity. I would suggest making the age on the account &gt;13 as this is the most secure way of blocking any form of inappropriate content from reaching your child. If you do the 13+ option inappropriate content is much more likely to be shown from other users. Watch out for the consumerism of ROBLOX, they have a currency called ""Robux"" which is basically their own currency to buy virtual items. Robux is really expensive there are cheaper alternatives to buy them, however Builders Club (A montly/yearly subscription that gives daily robux) is only bought directly from the website. After creating the account, go to the settings form the cogwheel in the upper right hand corner next to the Robux amount the account has and enter settings. In settings set up the parental controls to whatever you want. I personally suggest setting off communication links (twitter, discord, youtube etc.) account restrictions and in Privacy settings you can eliminate the entire risk of other players chatting with your child by setting off any contact from other players and let the child enjoy the game with how it is. Overall, with all of the restrictions that they offer and generally just being a smart parent you can ensure that your child is happy and safe and having fun while playing ROBLOX.","Adult"
"age 4+","Please, stop complaining, it’s not that bad. For those who say you need pay so much money, you do not need robux. Don’t buy it! Pornographic content? Put on age restrictments. Swearing, same thing, the words go hastagged! Like come on you can’t even say numbers. Just please stop, if it’s that bad don’t let your kid play it! Don’t complain to others that they shouldn’t.","Adult"
"age 10+","The thing is, it's not roblox's fault that your kids play the games that are on there. If your kid is seeing pornographic content, it's because they clicked the game. All of the decals, clothing, and everything are hand reviewed by the moderation team and roblox will know if something is wrong.
Games, however, are not reviewed by their team unless there is a report filed against the game, which will take up to 24 hours for the team to open and read into. If there's a game called 'sex life' and your kid clicks it, don't accuse roblox because of what your kid's into. Maybe instead you should properly parent them to teach them what is okay to play on the game and what is not okay.
People say that your kid is talking to a pedophile? Likely it's because they clicked on a dating roleplay game, one of the many kinds of cancer that we don't want on the site yet roblox reels in the money toward. Things like 'meep city' 'roblox high school' and anything that involves roleplaying and houses will definitely provoke online dating behaviors from 12-13 year olds who think it's funny. Don't take it seriously because chances are if they say ""hey baby I think you're hot"" they are talking about your child's VIRTUAL CHARACTER. There is no way that they can see what you look like outside of roblox and no information can be given about your personal life unless your daughter gets it through the filter.
Roblox does put many efforts to ensure that the game is child safe. Ultimately the experience your kids gets out of it is dependant on what they think is funny to click and what they want to play. If you play a game that says ""adopt a baby!"" you can guarentee that some 12 year old will start pretending that him and your child are married or are dating.","Adult"
"age 6+","This game can be abused, as it is an 8 to 18 aimed website, but if you ever find anything with sexuality, or anything of that sort, you have to remember, this is the internet, anyone can say or do anything. If your child is younger, I would recommend being careful about, and making them earn trust to be on the site, and I would make yourself an account. If your child is older, I would recommend letting them play, especially if your child is very mature. I recommend the site and game fully, as long as younger ones are monitered.","Adult"
"age 15+","Please monitor your kids while playing this game. My daughter went in to a game that said be a mermaid and saw naked characters, simulated sex acts and characters that were in bed saying ""Let me touch your boobs sexy"" and ""take off your pants"" when you clicked on them. The game has been on the website for over a year without being removed. I for one will not be allowing my children to play on this website anymore.","Adult"
"age 15+","One of the top games on this website is called ""Twisted Murderer"". There are also lots of spam that trick you thinking that you will receive ROBUX. There is also three types of memberships, even though this game is free to play. You can also buy ROBUX too.","Adult"
"age 8+","not for kids under 7","Adult"
"age 5+","it is really good and the chat is safe alright! well in games at least as for the learning tool... well that is a but complicated at first and it can take years to get used too!","Adult"
"age 8+","It's good but i highly recommend watching your kids on it because people might swear but that's against the rules and it's great for learning Lua (a type of coding languge)","Adult"
"age 9+","YOU MUST BE AWRE THERE ANY VERY COSTLY ITEMS BOUGHT IN THE GAME. CAN GET BILLLS IN THE HUNDRED FOR VIRTUAL ITEMS!
USERS ARE CONSTANTLY SWEARING AND BULLYING,TOLD THIS TO ROBLOX WHO IGNORE IT.","Parent"
"age 14+","The is little monitoring of inappropriate interaction. This is defiantly for younger children. The interaction is with all ages you don't know who your interacting with. My child's account was hacked and I tried to email them but the email failed . Once my child's account was hacked I did not want her on there. I would not recommend this website to younger children.","Adult"
"age 5+","I love this game but since the update when I try to play a game it loads and then it never opens a window to play","Adult"
"age 12+","Roblox is a seemingly harmless game, however, some things are just plain disappointing about it. ""Roblox"" is a building game that allows you to build your very own house, or zombies, or giant monsters that terrorize you for no reason. Lua scripting is what makes the creations come to life, and it may lead kids to creativity. Some games, however are violent, and there are even RECREATIONS of games like GRAND THEFT AUTO. Lua scripting also can make blood splatter out of characters and make it MORE realistic. So that's violence. Now, sexy stuff really is not an issue, however some kids may date. Just make sure you tell your child that these people are just silly. Language is filtered out (aside from the minor h--l). Drinking and drugs are not an issue. Builder's Club is a paid membership that kids will want...if they get addicted. There is also Turbo and Outrageous, which are more expensive. My biggest concern is the safety of children on here. My son, 12, was at a game called ""Kohl's Admin House"". These two other children were BULLYING him and ""freezing"" and ""punishing"" him for ABUSING the admin (which is no reason to do that). I spoke to both of them and they luckily promised not to do it again. So their is my review on Roblox, if you want a SAFER place to go, please use Club Penguin. Or even safer, Webkinz","Parent of an infant, 5, 5, and 12-year-old"
"age 7+","","Adult"
"age 10+","This website is a great site, there may be a few violent games, but you can just keep your kid away from them.","Parent of a 14-year-old"
"age 2+","Love it! Great game, just a bit of internet swearing but who cares, let my kids play this any day","Parent of a 17-year-old"
"age 15+","according to the BBC https://www.bbc.co.uk/news/technology-60314572
Roblox has sex games are commonly referred to on the platform as ""condos"". They're spaces, generated by users, where people can talk about sex - and where their avatars can have virtual sex. In these games, Roblox's rules are thrown out of the window.
BBC indicate it also has
A naked man, wearing just a dog collar and a lead, is led across the floor by a woman in a bondage outfit. Two strippers dance next to a bar.
A group has gathered around a couple openly having sex, watching and occasionally commenting.
One man is wearing a Nazi uniform.
This isn't happening in the real world, it's taking place on a children's gaming platform.","Adult"
"age 2+","Very good my brother made account called tubers93 and everyone got scared","Adult"
"age 18+","I am officially disgusted. My child (Shaquisha) is about 8 years old. I recently was in the kitchen making some chicken, adding salt as the seasoning, YOU KNOW. Typical mom things. I randomly hear my daughter say something that sounded very inappropriate. I checked up on her and she refused to give me back her tablet. I was petrified from the reaction so I decided to slap her across her face. I eventually got the tablet and realized that she was with this... BOY.. on some game called ""The good"" (obviously meaning dr*gs) I caught the young boy which seemed to be over the age of 47 STALKING my daughters character and calling her ""bby gorl"" ""suq my deeq"" so I didn't think anything much of it UNTIL I HEARD GUNS. Now in my Catholic house hold we don't tolerate this kind of behavior. I was devistaded and decided to call her father. He came home and punched the heavens out of my Shaquisha (as he should) and eventually reported the issue to Roblox. I went to go back to my cooking 1 hour later and AGAIN my daughter is on Roblox. I go back and it looked like she was taking care of a child in a house? Now after that I had a talk with her and she told me that she was a ""mother"" with her ""boyfriend"" getting ready for a (deepthroat) whatever that means. So I kicked her out of the house since she clearly wants to become a soloist mother. I don't recommend this game to ANYONE EVEN MY WORST ENEMY, it has caused stress and scars from time to time.
#MomLife
#Wap
#TreatYourKidsRight
#JesusChrist
#DoBetter
-Linda","Adult"
"age 2+","it has violence swere words and its great xD","Adult"
"age 2+","my precious son, bartholomew (7 years old) asked me for permission to download a game called roblox. a week later, he started to develop some sort of other vocabulary. now he's saying words like ""poopy"" ""fortnite"" ""cocomelon"" ""supercalifragilisticexpialidocioupneumonoultramicroscopicsilicovolcanoconiosis"" and ""pepperoni"". he even snuck on to his ipad 78 air pro max xr xs se plus plus plus ultra pro at 69:420 AM and made his brother, beethoven (250 years old) an account without my knowledge. bartholomew was banned from roblox for saying the word ""milky"" and my other son beethoven was banned for saying the word ""emo clothing"" this is outrageous! bartholomew has went back to doing music, like shutting his bedroom door and shutting the bathroom door and using up all of the aveeno eczema lotion! beethoven has went back to being dead. he is celebrating is 251st birthday soon, here is the address for the party: 69420 fortnite street oompaloompaville, victoryroyaleland. make sure to be there!","Adult"
"age 10+","I mean roblox isnt really that bad of a game BUT it does encourage kids to spend their money that they worked hard for to be spent on littarally nothing","Adult"
"age 13+","Ok, look i recommend this to 13 years old teens cause I think they can handle it but like there is too much s*x and online dating so I want to tell roblox to make a parents camera security so we can see what our kids are doing but like 12 year olds or down don't let them play it because they would think that to pay to the creators and online date and have s*x is cool so I would Recommend this for 13 year olds cause they can handle this.","Adult"
"age 11+","This game is great but if you are too let your son play on this game,here is some thing's you must know!
The majority of player's are good and kind but you will encounter rude people trying to bypass the chat filter in game's such as
Meepcity
Arsenal
Phantom Forces
ETC.
I'd say a majority of the game's on roblox has too much violence but most of them dont have blood and instead of a falling corpse,it looks like a cartoon falling flat.
{ TW: Mentions of sexual intercourse ETC )
There are some game's where people take it to the extreme by interacting in sexual intercourse via bypassing the chat and clothes,games to avoid
Meepcity
Raise a child
Life And Paradise
Condo's of any sort","Adult"
"age 7+","My son love's playing this game. It is really good but other parent's this game may not be for you!
|| Why? ||
Why do you ask? Well, there is swearing, violence such as shooting and, bad stuff in it (nsfw). But it is good!","Adult"
"age 10+","I'm 18. I think Roblox is a nice game/games to chill and play for a while (especially for younger kids with more imagination) but my problem with Roblox is that it doesn't REALLY teach kids anything, unless you go on learning games which kids aren't probably really interested in. But there are a lot of POPULAR games that require constant play because they want to farm for items, such as Royale High or Adopt Me. Also lots of games that promote real money spending. Like it'll cost real money for this ""epic dragon pet"". It'll cost around $100 irl or something. That's ridiculous since for one, its an online item and second of all little kids who don't have any jobs play these games and want these items. If my kids asked me for $100 for a digital item in a game, I would automatically think its a waste of money. Unless they did chores to earn that money, then its more acceptable. Another problem with Roblox is that you cannot exchange your money you spent (Robux, items you bought, gamepasses) into real money unless you're a developer. I have spent over $100 on an old account I used a long time ago. Now I have no use for that account and that money is just sitting on there doing nothing. My other problem with this game (its an ongoing problem) is the amount of weird online daters I see. In general I believe online dating is fine, as long as you're safe.. and I don't think you should be doing it if you're under 15. But on ROBLOX?? Really??? A game targeted towards 5-13 year olds mostly?? That's just weird and dangerous. Another problem with this game is that there are TONSSS, and I mean an absolute abundance of scams on Roblox. For whatever reason, Roblox allows these scams and it's really unfortunate to see kids unhappy because they can't get ""free robux"". I feel like Roblox isn't healthy for young minds anymore. If a kid is really that desperate for Robux, an in game currency. There's something wrong. Last problem with this game is I feel like a lot of developers are underrated and taken advantage of. Callmehbob (nightbarbie) for instance, her game has a massive amount of players each day and her graphics level on her game is absolutely insane. It's amazing, it should be a separate game from Roblox really. I can't even barely function Royale High on my $1,000 gaming laptop!
One more problem is I see a lot of inappropriate things on here. Including LGBTQ+ games which I think is really inappropriate for a little kid to see that. Also the Roblox community is really toxic.
I have played Roblox for 5 years now, and I would like to see it improve in these ways. I am 18 now and I need to start moving on.
(btw minecraft is better) ;)","Adult"
"age 2+","Jenna Is Hacking Roblox Right Now, Don't Let Your Kids Play Roblox!","Adult"
"age 18+","i mean its sus at some times but obama joe aproves and stuff and sus and suusys sjjsdhsjdsddudikbgkjfdfu0j SUS","Adult"
"age 18+","Meep City on the surface is a kids game but the meep city community has created a back door into the game where you can glitch out of main part of the game going into a Roblox online dating game where you g kids pretend to have sex with their Roblox characters it shows nudity over sized genatalia and grotesque images of r
Orgies these kids are teenager they get on late at night. Watch Kreecrafts This Roblox game should be banned on YouTube . You will understand after you see video","Adult"
"age 18+","I have had three accounts that I have lost two accounts because I log out to get the accounts I lost it didn't work when I try to sign back into the account I was already on I had my everything written down and it says discount does not exist I tried for 2 hours to get back into my account and it wouldn't work this app just called me out of my greatest accounts","Adult"
"age 8+","Hello, my name is Alin and I will tell you why roblox is a great game. Roblox boosts creativity and gives the opportunity to create your own games on the platform. Roblox is very entertaining for children, there are many games like obbys,simulator,tycoons and they are really fun. You can buy gamepasses or other stuff like that with robux, robux is the roblox currency that you can buy for real money, it has a good price and it offers a good amount of it. Now I've seen reviews that people children have bought robux without their parent permissions, do not blame roblox, it's their parent's fault for leaving children with the option to buy stuff with real money and children are young and they don't think about that, put a pin on your credit card people! Roblox is a great platform over all, it's the children's parent's fault for neglecting the time their children is playing this game. Thank you for reading my opinion on why roblox is a great game!
-Alin","Adult"
"age 18+","MY KID IS NOW IN DE MAFIA CUS OF DIS GAME
ID SAY 35 YEARS AND UP SHOULD PLAY THIS GAME
LET DEM PALY GTA5 INSTED IT IS MORE APROPRIATE","Adult"
"age 2+","SO LETS BE CLEAR ABUELA IS A TROLL SHE JOINED ROBLOX SO MANY YEARS AGO","Adult"
"age 10+","I, Azula, am I mother of 12 children. So far all of my children have been banned. I belive that their ban reasoning is unacceptable. Had my litte Lily (5) banned for asking ""What is gay?"" She had cried for hours. My son, Greyson (12) Was banned for drawing a person, but it looked like a penis to the admin. Whenever his someone said roblox he would scream ""f*** them!"" My other kid, Elsie (6) Was on the floor having a sh** fit when she was banned for inserting an image of poop as a dare. My other son, Colin (8) Had saw someone say the f bomb, so he said it to and got banned aswell. My other daughters, Roxanne and Dakota (9,twins) were both banned for spamming although they were not flooding the chat. My triplets, CJ, Molly and Sofie were banned because of a changed model in game. My other kids (Luke, Liam, Ash) Were all banned for even stupider reasons like ""Dating or Sexting"" which doesnt make sense, Ash barely plays roblox...What the fuck roblox this is outrages! I have had to deal with 12 CRYING children throughout the past year. My kids have had to transfer to alternate accounts, which they hate. Me and my husband, Jesus have spent so much money on this game, and we dont even get refunds! Again, OUTRAGES!","Adult"
"age 2+","My favorite son Bartholomew loves Roblox I buy him all da robux BUT HE WAS BANNED FOR SAYING “YES YOU ARE GAY” and for a second time for saying “deeznuts” the reason my son said yes you are is because the guy in his game said I am gay and he said deeznuts because he loves peanuts. SO F*** YOU ROBLOX GO F*** YOURSELVES IN HELL! srry for my rage I also have another son Timmy that got banned from fortnite for rubbing his in-game a** on a lampost and he did not mean to as you can see I hate this sh** also I have a son Jotaro who got banned from The Presintation experience on roblox so you guys suck I bet you have s*x instead of doing your job roblox.","Adult"
"age 18+","5634t3gf6h5gwdhgcth","Adult"
"age 18+","ROBLOX WILL DELETE YOUR CHILDS ACCOUNT WITHOUT ANY QUESTIONS ASKED!! MY SON HAS HAD THIS ACCOUNT FOR OVER 10YRS AND HAVE SPENT TONS OF MONEY USING IT THROUGHOUT THE YRS BUT ONE DAY A SO-CALLED FRIEND OFFERS TO GIVE A DAGGER TO HIM THEN A FEW WEEKS LATER ALL HIS MONEY WAS DELETED ALONG WITH THE ACCOUNT AND THE REVIEW TEAM NEVER ALLOWED HIM TO SHOW PROOF OF THE CONVERSATION HE AND THE SO-CALLED FRIENDS HAD. EVERYONE THAT THESE INDIVIDUALS COME IN CONTACT END UP GETTING THEIR ACCOUNTS DELETED AND THEIR STUPID REVIEW TEAM SHOULD BE ABLE TO SEE THAT!!!","Adult"
"age 6+","Honestly those parents who freak out are just over reacting I mean there is a big amount of consumerism for buying robux as alot of kids would probably ask their parents for robux other than that its fine besides yes I know people can ask people for info but other than that roblox is perfect","Adult"
"age 8+","Roblox is an online platform which players can come together in a multiplayer or singleplayer (depending on server size set by game developers) to play over a million different games. Most of the games are appropriate, fun and engaging. Be warned that the moderation is not the best (in terms of false bans and appeals process), you may find your account terminated or warned or temporarily banned for doing something you didn't know was against the ToS or rules. Make sure you read them.","Adult"
"age 16+","Keep your kids away from Roblox.
It's addictive, unfiltered, and way too many scams and bullies.
I'm having a hard time with my 8yr old who is completely addicted to it and whose behaviour has changed for the worst since he was introduced to Roblox.","Adult"
"age 18+","Parents In I As Alabama: Take A Moment, And Look At The Apps On Your Child's Cell Phone / Tablet! There Could Be Vulgar Material, And Even Messages Geared Toward Your Child! Parents Are Talking A Lot About This On Social Media! It's A Game App Called ""Roblox"" Which Is Geared Toward Eight To Twelve Year Olds! ""Roblox"" Is A Simulation Role Play Game That's Really For Anyone Of All Ages Including Kids! Here's A Exclusive Look At ""Roblox!"" You Can Play Different Games Like Boys And Girls Dance Club, Roboxian Life, Even Prison Life, Or Murder Mystery! So Here's What I Think About It: I Don't Really Like Prison Life And Murder Mysteries, And I've Read That There's Predators And Things That Get To You On Roblox! I Would Never Allow That To Play On The Television! Roblox Users Can Sign Up, Choose An Avatar, Then Role Play / Interact With Other Users! In The Game Prison Life: It's The Guards Versus The Prisoners! In Boys And Girls Dance Party: The Avatars Talk About The Popular Music That Plays! You Have To Like I Find That Even If You Have The Parental Controls Set Up: They Can Still Like Get Around Them, They're Getting Apps That Are Playing In Sections That You Don't Want Them In! The Roblox Website Lies, And Says ""We Protect Users 12 And Under Preventing Them From Sharing Personal Information, And Protect Players Safety By Filtering Inappropriate Content"" Roblox Says Users Should Report Vulgar Chat Messages, Or Block Any Other User! However, Getting Online Speaking To Strangers! Well This Could Be A Very Dangerous Situation! Now! There Are Other There Are Other Games On The App Like Spongebob, And Hide And Seek That Seem Kind Of Harmless, But They Are Not! What Sparked All This Talk On Social Media Is An Article On Kidspot.com Which Is Circulating Through Facebook, And A Lot Of A Lot Of Parents Are Sharing It Online! It's About A Dad In The United Kingdom Who Played The App Himself, And What He Experienced Was Inappropriate Chats And Sometimes Even Sexual Comments Were Posted! So He Kind Of Flagged That, And Spoke To Uh The Person Who Wrote The Article About It! I Want Parents Across I As ""Alabama"" To Delete This App, And To Ban Their Kids From Play Shitblox! If They Play This Fucking Stupid Game: Take Your Child's Tablet, Or I-Pad! I Declare Roblox A Blocked App On All Phones, Computers, XBoxes, And VR Headsets In I As ""Alabama""","Adult"
"age 13+","My daughter loves playing roblox. She has been playing the game since 2016 and was asking for a robux card. We decided to give her a $100 roblox card. Her face was priceless and we thought everything was going well until she couldn't log in. Apparently she fell for a ""Free Robux"" scam a few days ago. We contacted roblox support and they haven't responded. We still let our daughter have roblox but she cant buy anything. We are now spending our money on better games like minecraft. The only reason we are giving this game 3 stars is because its fun and mostly safe.","Adult"
"age 18+","I found my child on Roblox pretending to have sex with another avatar. He also was typing foul language and it didn't censor it. He also was drinking alcohol, and while he was doing it the game was giving him ADDS. DO NOT RECOMMEND FOR KIDS UNDER 18.","Adult"
"age 18+","Start Watching FOX News! Stop Playing Roblox! There Is No Fancy Part Of It! Roblox! Those Kids That Play Roblox Are Fond Of Their Booze! Hot Wing Sauce Is Great! Those Kids That Play Roblox Are Going To Clunk Their Hearts In Hating The World! Roblox! Those Kids That Play Roblox Want To Sleep In, And Skip School! I'm Finding That I'm Fitting Right In, Hating Roblox, Heart Of The Course! The Roblox Plant Closed! But I'm Still Alonging To Stay, And Hate Roblox! In I As New York State! No One On Roblox Can Make It Anywhere In Life! But I Can Make It There In I As New York State!","Adult"
"age 18+","So I saw my kid playing this game called, “Survive and Kill The Killers In Area 51” And I saw brutal blood and gore. Then I saw my kid having sex with a naked woman.","Adult"
"age 18+","This game may at one time been for kids but now it has turned into something toxic and potentially dangerous to children. Adults pose as children and groom them. They convince them to send naked pictures of themselves and then blackmail the child into sending more photos once they receive the first one. Children have committed suicide over instances such as this. Also Roblox says they have “strict safety features” but it doesn’t protect the child from being groomed on their site and talked into downloading third party apps to talk and exchange photos. People also rape others on the site using their characters","Adult"
"age 18+","I knew someone i grew up friends with that would play this game all the time when he was 18 and 19 he left his account logged into my pc and i saw all his messages with 20+ underage children and it was disgusting thousands of people use this game to get access to kids. Avoid it","Adult"
"age 18+","Roblox game developers exploit children by profiting off the games the child makes while giving almost nothing back to them. They steal money through their stock market encouraging children to gamble and have known pedophiles grooming children on their platform. Additionally lead social media manager runs open pornography blogs and public nudity photos. This game has adults wanting to prey on your children monitor closely or do not let them play.","Adult"
"age 18+","I HAVE SEEN BAD STUFF DUE TO MODERATION","Adult"
"age 18+","Far too often games will be ruined by people trying to get a rise out of players, and when that fails they'll resort to racist, sexist, or discriminatory language by undermining the quite frankly laughable moderation system by altering their text or sending several messages.
The final straw was my son's spell-check correcting Rozit (a Roleplay name), to 'Racist' which the system flagged as discriminatory despite him being in the game for 2 minutes and nothing else being said even remotely offensive.
Why bother with a game the creators don't bother with?","Adult"
"age 10+","Chat:
If your child knows online safety they will be fine. Every once and a while a few bad words slip through the system, but most of the time you are fine. If you don’t want your kid using any kind of chat you can go to settings and turn off the chat, or if you don’t want your kid to be private messaged, there are settings for that as well. For accounts aged under 13, extra safety settings are already added. If you don’t want your kid changing the privacy settings then use the pin to lock it down, they won’t be able to change their profile status or change settings without it.
Violence:
There are games with violence, but it doesn’t even look real. When the characters die they fall apart like LEGO’s.
Online dating:
Online daters are usually just role players and it’s never weird, they just pretend to have a family and another player is usually the child or family pet. Most of the weird videos you find online about Roblox characters being sexual or sexual games on Roblox are staged and are for clout. If there are weird games, they are private and made by weirdos and only people invited by links through social media can join them. They always get reported and taken down within an hour or so. If your kid doesn’t have social media then it’s not an issue, even if they did, these games very rarely slip through.
Voice chat:
Your kid can’t use voice chat without being at least 13, and they have to have proof and an ID. Voice chat is generally safe, when someone tries to cuss it gets bleeped out, and if you get bleeped out to many times you get a 24 hour ban. They have a detector to see if the ID is real or not, and it will ban you if it’s fake, and you’d have to appeal.
Robux:
Robux is an in-game currency that you can earn by making games or buy using real life money. If you have an email hooked to the account and the right settings turned on, it will email you when your kid spends money on robux. If your kid spends robux without permission, or you aren’t pleased with your purchase, sometimes you can get a refund. It is a little pricey though.
Bullying:
If your kid can handle being called a “noob” (this is a word the kids use to make fun of each other on the app, basically calling them a new player) or if they can handle being called stinky then they will be fine. If your child last account is rated above 13, they might be called dumb, but that’s about it.
Groups:
Groups are basically a mini forum page for kids. You can chat, advertise your game, or if your child has like a role play Roblox job, they can report “bad behavior” to the owner of the group. (The bad behavior is just little kid arguments)
Social media links/YouTube links:
If your account is rated 13, your child has the ability to add outside social links to their profile, like their YouTube channel, twitch streams, or other platforms, and they can also check out other people’s profiles to find these links as well. You have the option to get rid of this option if you go to settings.
Learning:
Your kid can totally learn from this platform. It’s really amazing to be honest. They can make their own game using Lua language (coding) and they can build as well.
This is also a fantastic app for online interaction (for children and adults) it is a good introduction to the internet, as it let’s your child talk to people across the world, but safely. You can make avatars and make your own group, and you can enjoy the game without having robux. The games and chats are moderated.
Things to remember:
This game is meant for tweens, teens, and young adults. However, it’s would probably be okay for a younger child if they are supervised, I would not let a younger child have access to chats, but for older kids and tweens, chat is perfectly fine. Expect a little bit of bad language. I really do think some parents are very over dramatic about Roblox, most of those parents let their 5 year old play without any restrictions and the child plays police officer role play games and sees their character die.
It’s a much better alternative then Fortnite or Minecraft where you can chat freely and use voice chat, which leads to much worse then a little bit of childish fights. Every game single game these days has complaints from parents about safety, well that’s the internet. Roblox is very safe and moderated, you most likely won’t have an issue. If you want your child to have more social time (especially during covid) that is safe, then use this app. It encourages creativity and it is fun.","Adult"
"age 18+","My 29 year old daughter got adikted to Roblox. She is being mean and violent as if she was always like that.Roblox is a awesome game
I recommend this game to you.","Adult"
"age 2+","When I saw it they were kissing and online dating. This game should be ban.","Adult"
"age 18+","give my son fre robuck now roblox i hate tis very much and i am 30 yer old man who want baba gril &gt;;( give me rouck and gibe him dominsus and give hik korblock and give him headles! now! its very bad anry &gt;;( bad comuntiya too they dint want be my baba gril and they never give me robuck or my son &gt;:(","Adult"
"age 16+","There are way too many violence and innapropaiate games even in the front page, and Roblox is 10+. There are fps games with blood and injury detail, which Roblox pretends to not notice. I see a lot of people who harrass people by gender and hating on LGBT. It's really unacceptable. There are games which refrence crime like Jailbreak, and games featuring Squid Game, which is obviously not suitable either. That only scratches the surface of why Roblox is not safe enough.","Adult"
